homeworld,characters
,19
Tatooine,9
Coruscant,7
Corellia,5
Mandalore,5
Naboo,4
Dathomir,3
Ferrix,3
Jedha,3
Ryloth,3
Mon Cala,2
Kamino,2
Alderaan,2
Chandrila,2
Shili,2
Glee Anselm,2
Bespin,1
Arvala-7,1
Axxila,1
Ardennia,1
Aq Vetina,1
Concord Dawn,1
Arkanis,1
Hays Minor,1
Haruun Kal,1
Grange,1
Fest,1
Duro,1
Endor,1
Csilla,1
Dorin,1
Corvus,1
Lothal,1
Mirial,1
Nal Hutta,1
Malastare,1
Lexrul,1
Kashyyyk,1
Jakku,1
Onderon,1
Ojom,1
Nevarro,1
Narkina 5,1
Serenno,1
Socorro,1
Rodia,1
Parnassos,1
Stewjon,1
Sriluur,1
Takodana,1
Sullust,1
Trandosha,1
Vallt,1
Yavin 4,1
Zolan,1
