character_key,character_name,avg_opinion_score,opinion_responses,favorable_responses,unfavorable_responses,unfamiliar_responses,total_rows,favorable_pct,unfavorable_pct,unfamiliar_pct,universe_character_name,species,gender,homeworld,height,weight,quote_count,data_completeness_pct,internal_presence_score,is_in_universe_dataset,audience_affinity_score,familiarity_score,internal_presence_score_scaled,data_quality_score,merchandising_potential_index,opportunity_quadrant
han_solo,Han Solo,1.672,829,761,9,15,1186,91.8,1.09,1.81,Han Solo,Human,Male,Corellia,1.8,80.0,17.0,100.0,22.0,1,91.8,98.19,100.0,100.0,95.86,priority_campaign
obi_wan_kenobi,Obi-Wan Kenobi,1.632,825,750,15,17,1186,90.91,1.82,2.06,Obi-Wan Kenobi,Human,Male,Stewjon,1.82,81.0,15.0,100.0,20.0,1,90.8,97.94,90.91,100.0,93.53,priority_campaign
yoda,Yoda,1.63,826,749,16,10,1186,90.68,1.94,1.21,Yoda,Yoda's species,Male,,0.66,17.0,11.0,92.86,16.0,1,90.75,98.79,72.73,92.86,89.37,priority_campaign
luke_skywalker,Luke Skywalker,1.581,831,771,16,6,1186,92.78,1.93,0.72,Luke Skywalker,Human,Male,Tatooine,1.72,77.0,9.0,100.0,14.0,1,89.52,99.28,63.64,100.0,87.83,priority_campaign
leia_organa,Leia Organa,1.555,831,757,18,8,1186,91.1,2.17,0.96,Leia Organa,Human,Female,Alderaan,1.5,49.0,6.0,100.0,11.0,1,88.88,99.04,50.0,100.0,84.76,priority_campaign
darth_vader,Darth Vader,0.479,826,481,251,10,1186,58.23,30.39,1.21,Darth Vader,Human,Male,Tatooine,2.02,136.0,10.0,92.86,15.0,1,61.98,98.79,68.18,92.86,75.51,repositioning_needed
r2_d2,R2-D2,1.57,830,747,16,10,1186,90.0,1.93,1.2,R2-D2,Droid,,Naboo,0.96,,0.0,64.29,3.0,1,89.25,98.8,13.64,64.29,74.02,hidden_opportunity
c_3po,C-3PO,1.404,827,703,30,15,1186,85.01,3.63,1.81,C-3PO,Droid,,Tatooine,1.71,,2.0,64.29,5.0,1,85.1,98.19,22.73,64.29,73.82,hidden_opportunity
anakin_skywalker,Anakin Skywalker,0.776,823,514,122,52,1186,62.45,14.82,6.32,Anakin Skywalker,Human,Male,Tatooine,1.88,84.0,2.0,100.0,7.0,1,69.4,93.68,31.82,100.0,71.01,low_priority
padme_amidala,Padme Amidala,0.605,814,351,92,164,1186,43.12,11.3,20.15,Padme Amidala,Human,Female,Naboo,1.65,45.0,2.0,100.0,7.0,1,65.12,79.85,31.82,100.0,65.63,low_priority
lando_calrissian,Lando Calrissian,0.637,820,365,71,148,1186,44.51,8.66,18.05,Lando Calrissian,Human,Male,Socorro,1.77,79.0,2.0,92.86,6.0,1,65.92,81.95,27.27,92.86,64.89,low_priority
boba_fett,Boba Fett,0.357,812,291,141,132,1186,35.84,17.36,16.26,Boba Fett,Human,Male,Kamino,1.83,78.0,1.0,92.86,5.0,1,58.92,83.74,22.73,92.86,61.28,low_priority
emperor_palpatine,Emperor Palpatine,0.071,814,253,192,156,1186,31.08,23.59,19.16,Emperor Palpatine,Human,Male,Naboo,1.73,75.0,4.0,92.86,9.0,1,51.78,80.84,40.91,92.86,60.98,repositioning_needed
jar_jar_binks,Jar Jar Binks,-0.219,821,242,306,109,1186,29.48,37.27,13.28,Jar Jar Binks,Gungan,Male,Naboo,1.96,66.0,0.0,85.71,4.0,1,44.52,86.72,18.18,85.71,53.92,low_priority
