dataset,column,nulos,porcentaje
survey,is_expanded_universe_fan,973,82.04
survey,is_expanded_universe_fan_binary,973,82.04
species,hair_colors,29,74.36
starships,cost_in_credits,40,71.43
planets,diameter,15,57.69
planets,population,15,57.69
characters,year_died,62,55.36
planets,rotation_period,14,53.85
planets,orbital_period,14,53.85
planets,surface_water,14,53.85
survey,opinion_score_padme_amidala,536,45.19
survey,opinion_score_emperor_palpatine,528,44.52
weapons,cost_in_credits,25,43.86
survey,opinion_score_lando_calrissian,514,43.34
vehicles,pilots,9,42.86
vehicles,pilot_keys,9,42.86
survey,opinion_score_boba_fett,506,42.66
survey,opinion_score_jar_jar_binks,474,39.97
survey,opinion_score_anakin_skywalker,415,34.99
starships,pilot_keys,19,33.93
starships,pilots,19,33.93
characters,hair_color,36,32.14
survey,opinion_score_obi_wan_kenobi,378,31.87
survey,opinion_score_c_3po,374,31.53
survey,opinion_boba_fett,374,31.53
survey,opinion_emperor_palpatine,372,31.37
survey,opinion_score_han_solo,372,31.37
survey,opinion_padme_amidala,372,31.37
characters,weight,35,31.25
survey,opinion_score_darth_vader,370,31.2
survey,opinion_score_yoda,370,31.2
survey,opinion_lando_calrissian,366,30.86
survey,opinion_score_r2_d2,366,30.86
survey,opinion_jar_jar_binks,365,30.78
survey,opinion_score_princess_leia_organa,363,30.61
survey,opinion_anakin_skywalker,363,30.61
survey,opinion_obi_wan_kenobi,361,30.44
survey,opinion_score_luke_skywalker,361,30.44
survey,opinion_yoda,360,30.35
survey,opinion_darth_vader,360,30.35
survey,opinion_c_3po,359,30.27
survey,which_character_shot_first,358,30.19
survey,is_familiar_with_expanded_universe_binary,358,30.19
survey,is_familiar_with_expanded_universe,358,30.19
survey,average_character_opinion_score,357,30.1
survey,opinion_han_solo,357,30.1
survey,opinion_r2_d2,356,30.02
survey,opinion_luke_skywalker,355,29.93
survey,opinion_princess_leia_organa,355,29.93
survey,rank_episode_iii_revenge_of_the_sith,351,29.6
survey,rank_episode_i_the_phantom_menace,351,29.6
survey,rank_episode_iv_a_new_hope,350,29.51
survey,is_star_wars_fan,350,29.51
survey,rank_episode_ii_attack_of_the_clones,350,29.51
survey,rank_episode_vi_return_of_the_jedi,350,29.51
survey,rank_episode_v_the_empire_strikes_back,350,29.51
survey,is_star_wars_fan_binary,350,29.51
characters,year_born,32,28.57
vehicles,consumables,6,28.57
droids,mass,4,28.57
survey,household_income,328,27.66
characters,height,29,25.89
droids,manufacturer,3,21.43
characters,homeworld,19,16.96
starships,mglt,8,14.29
starships,cargo_capacity,8,14.29
starships,consumables,8,14.29
survey,education,150,12.65
survey,location_census_region,143,12.06
survey,gender,140,11.8
survey,age,140,11.8
survey,is_star_trek_fan,118,9.95
survey,is_star_trek_fan_binary,118,9.95
starships,hyperdrive_rating,5,8.93
weapons,length,5,8.77
characters,eye_color,8,7.14
starships,crew,4,7.14
starships,max_atmosphering_speed,4,7.14
starships,passengers,4,7.14
droids,height,1,7.14
droids,films,1,7.14
droids,film_keys,1,7.14
starships,manufacturer,3,5.36
species,homeworld,2,5.13
species,skin_colors,2,5.13
planets,films,1,3.85
planets,film_keys,1,3.85
characters,species,4,3.57
characters,gender,4,3.57
species,average_height,1,2.56
species,classification,1,2.56
species,eye_colors,1,2.56
species,average_lifespan,1,2.56
characters,skin_color,2,1.79
