film_key,film_title,the_numbers_title,release_date,release_year,era,film_type,budget_usd,domestic_box_office_usd,worldwide_box_office_usd,profit_estimated_usd,roi,data_status,source_name,source_url,episode_order,movie_title,viewers,respondents,view_rate_pct,avg_rank,preference_score,ranking_responses,first_place_pct,is_in_survey
the_phantom_menace,Episode I: The Phantom Menace,Star Wars: Episode I - The Phantom Menace,1999-05-19,1999,Prequel,Theatrical,115000000,431088295,1027044677,912044677,7.9308,Final,The Numbers,https://www.the-numbers.com/movies/franchise/Star-Wars,1.0,Episode I: The Phantom Menace,673.0,1186.0,56.75,3.73,3.27,835.0,15.45,1
attack_of_the_clones,Episode II: Attack of the Clones,Star Wars: Episode II - Attack of the Clones,2002-05-16,2002,Prequel,Theatrical,115000000,310676740,649398328,534398328,4.6469,Final,The Numbers,https://www.the-numbers.com/movies/franchise/Star-Wars,2.0,Episode II: Attack of the Clones,571.0,1186.0,48.15,4.09,2.91,836.0,3.83,1
revenge_of_the_sith,Episode III: Revenge of the Sith,Star Wars: Episode III - Revenge of the Sith,2005-05-19,2005,Prequel,Theatrical,113000000,380270577,848998877,735998877,6.5133,Final,The Numbers,https://www.the-numbers.com/movies/franchise/Star-Wars,3.0,Episode III: Revenge of the Sith,550.0,1186.0,46.37,4.34,2.66,835.0,4.31,1
a_new_hope,Episode IV: A New Hope,Star Wars: Episode IV - A New Hope,1977-05-25,1977,Original,Theatrical,11000000,460998007,775398007,764398007,69.4907,Final,The Numbers,https://www.the-numbers.com/movies/franchise/Star-Wars,4.0,Episode IV: A New Hope,607.0,1186.0,51.18,3.27,3.73,836.0,24.4,1
the_empire_strikes_back,Episode V: The Empire Strikes Back,Star Wars: Episode V - The Empire Strikes Back,1980-05-21,1980,Original,Theatrical,18000000,290475067,538375067,520375067,28.9097,Final,The Numbers,https://www.the-numbers.com/movies/franchise/Star-Wars,5.0,Episode V: The Empire Strikes Back,758.0,1186.0,63.91,2.51,4.49,836.0,34.57,1
return_of_the_jedi,Episode VI: Return of the Jedi,Star Wars: Episode VI - Return of the Jedi,1983-05-25,1983,Original,Theatrical,32500000,309306177,475106177,442606177,13.6187,Final,The Numbers,https://www.the-numbers.com/movies/franchise/Star-Wars,6.0,Episode VI: Return of the Jedi,738.0,1186.0,62.23,3.05,3.95,836.0,17.46,1
the_force_awakens,Episode VII: The Force Awakens,Star Wars: Episode VII - The Force Awakens,2015-12-18,2015,Sequel,Theatrical,245000000,936662225,2068223624,1823223624,7.4417,Final,The Numbers,https://www.the-numbers.com/movies/franchise/Star-Wars,,Episode VII: The Force Awakens,,,,,,,,0
the_last_jedi,Episode VIII: The Last Jedi,Star Wars: Episode VIII - The Last Jedi,2017-12-15,2017,Sequel,Theatrical,200000000,620181382,1332539889,1132539889,5.6627,Final,The Numbers,https://www.the-numbers.com/movies/franchise/Star-Wars,,Episode VIII: The Last Jedi,,,,,,,,0
the_rise_of_skywalker,Episode IX: The Rise of Skywalker,Star Wars: Episode IX - The Rise of Skywalker,2019-12-20,2019,Sequel,Theatrical,275000000,515202542,1074144248,799144248,2.906,Final,The Numbers,https://www.the-numbers.com/movies/franchise/Star-Wars,,Episode IX: The Rise of Skywalker,,,,,,,,0
rogue_one,Rogue One: A Star Wars Story,Rogue One: A Star Wars Story,2016-12-16,2016,Sequel,Theatrical,200000000,532177324,1056257274,856257274,4.2813,Final,The Numbers,https://www.the-numbers.com/movies/franchise/Star-Wars,,Rogue One: A Star Wars Story,,,,,,,,0
solo,Solo: A Star Wars Story,Solo: A Star Wars Story,2018-05-25,2018,Sequel,Theatrical,275000000,213767512,392924807,117924807,0.4288,Final,The Numbers,https://www.the-numbers.com/movies/franchise/Star-Wars,,Solo: A Star Wars Story,,,,,,,,0
