character_key,character_name,quote_count
han_solo,Han Solo,17
obi_wan_kenobi,Obi-Wan Kenobi,15
yoda,Yoda,11
darth_vader,Darth Vader,10
luke_skywalker,Luke Skywalker,9
leia_organa,Leia Organa,6
emperor_palpatine,Emperor Palpatine,4
qui_gon_jinn,Qui-Gon Jinn,2
padme_amidala,Padme Amidala,2
anakin_skywalker,Anakin Skywalker,2
c_3po,C-3PO,2
lando_calrissian,Lando Calrissian,2
admiral_ackbar,Admiral Ackbar,1
admiral_piett,Admiral Piett,1
boba_fett,Boba Fett,1
gold_five,Gold Five,1
count_dooku,Count Dooku,1
opening_crawl,Opening Crawl,1
shmi_skywalker,Shmi Skywalker,1
