starship_key,name,starship_class,manufacturer,cost_in_credits,length,crew,passengers,cargo_capacity,pilot_keys,pilot_count,film_keys,film_count
millennium_falcon,Millennium Falcon,Light freighter,Corellian Engineering Corporation,100000.0,34.75,4.0,6.0,100000.0,"han_solo, chewbacca",2,"a_new_hope, the_empire_strikes_back, return_of_the_jedi, the_force_awakens, the_last_jedi, the_rise_of_skywalker",6
x_wing,X-wing,Starfighter,Incom Corporation,149999.0,12.5,1.0,0.0,110.0,luke_skywalker,1,"a_new_hope, the_empire_strikes_back, return_of_the_jedi, the_force_awakens, the_last_jedi, the_rise_of_skywalker",6
slave_1,Slave 1,Patrol craft,Kuat Systems Engineering,,21.5,1.0,6.0,80000.0,boba_fett,1,"the_empire_strikes_back, attack_of_the_clones, the_mandalorian",3
slave_ii,Slave II,Patrol craft,Kuat Systems Engineering,,21.5,1.0,6.0,80000.0,boba_fett,1,"the_empire_strikes_back, attack_of_the_clones, the_mandalorian",3
star_destroyer,Star Destroyer,Capital ship,Kuat Drive Yards,150000000.0,1600.0,47060.0,0.0,36000000.0,,0,"a_new_hope, the_empire_strikes_back, return_of_the_jedi",3
imperial_star_destroyer,Imperial Star Destroyer,Capital ship,Kuat Drive Yards,150000000.0,1600.0,47060.0,0.0,36000000.0,,0,"a_new_hope, the_empire_strikes_back, return_of_the_jedi",3
y_wing,Y-wing,Assault starfighter,Koensayr Manufacturing,135000.0,23.4,2.0,0.0,110.0,,0,"a_new_hope, the_empire_strikes_back, return_of_the_jedi",3
tie_fighter,TIE Fighter,Starfighter,Sienar Fleet Systems,75000.0,8.99,1.0,0.0,65.0,,0,"a_new_hope, the_empire_strikes_back, return_of_the_jedi",3
n_1_starfighter,N-1 Starfighter,Starfighter,Theed Palace Space Vessel Engineering Corps,200000.0,11.0,1.0,1.0,,"din_djarin, anakin_skywalker",2,"the_mandalorian, the_phantom_menace",2
executor,Executor,Star Dreadnought,"Kuat Drive Yards, Fondor Shipyards",1143350000.0,19000.0,279144.0,38000.0,250000000.0,darth_vader,1,"the_empire_strikes_back, return_of_the_jedi",2
tantive_iv,Tantive IV,Corvette,Corellian Engineering Corporation,3500000.0,150.0,165.0,30.0,3000000.0,leia_organa,1,"a_new_hope, revenge_of_the_sith",2
naboo_n_1_starfighter,Naboo N-1 Starfighter,Starfighter,Theed Palace Space Vessel Engineering Corps,,11.0,1.0,0.0,65.0,anakin_skywalker,1,"the_phantom_menace, attack_of_the_clones",2
rebel_transport,Rebel transport,Medium transport,"Gallofree Yards, Inc.",3000000.0,90.0,6.0,90.0,19000000.0,,0,"the_empire_strikes_back, return_of_the_jedi",2
