respondent_id,has_seen_any_star_wars_film,is_star_wars_fan,seen_episode_i_the_phantom_menace,seen_episode_ii_attack_of_the_clones,seen_episode_iii_revenge_of_the_sith,seen_episode_iv_a_new_hope,seen_episode_v_the_empire_strikes_back,seen_episode_vi_return_of_the_jedi,rank_episode_i_the_phantom_menace,rank_episode_ii_attack_of_the_clones,rank_episode_iii_revenge_of_the_sith,rank_episode_iv_a_new_hope,rank_episode_v_the_empire_strikes_back,rank_episode_vi_return_of_the_jedi,opinion_han_solo,opinion_luke_skywalker,opinion_princess_leia_organa,opinion_anakin_skywalker,opinion_obi_wan_kenobi,opinion_emperor_palpatine,opinion_darth_vader,opinion_lando_calrissian,opinion_boba_fett,opinion_c_3po,opinion_r2_d2,opinion_jar_jar_binks,opinion_padme_amidala,opinion_yoda,which_character_shot_first,is_familiar_with_expanded_universe,is_expanded_universe_fan,is_star_trek_fan,gender,age,household_income,education,location_census_region,total_movies_seen,has_complete_movie_ranking,opinion_score_han_solo,opinion_score_luke_skywalker,opinion_score_princess_leia_organa,opinion_score_anakin_skywalker,opinion_score_obi_wan_kenobi,opinion_score_emperor_palpatine,opinion_score_darth_vader,opinion_score_lando_calrissian,opinion_score_boba_fett,opinion_score_c_3po,opinion_score_r2_d2,opinion_score_jar_jar_binks,opinion_score_padme_amidala,opinion_score_yoda,average_character_opinion_score,has_seen_any_star_wars_film_binary,is_star_wars_fan_binary,is_familiar_with_expanded_universe_binary,is_expanded_universe_fan_binary,is_star_trek_fan_binary,movie_consumption_segment,fan_segment,has_demographic_info
3292879998.0,yes,yes,1,1,1,1,1,1,3.0,2.0,1.0,4.0,5.0,6.0,very favorably,very favorably,very favorably,very favorably,very favorably,very favorably,very favorably,unfamiliar (n/a),unfamiliar (n/a),very favorably,very favorably,very favorably,very favorably,very favorably,i don't understand this question,yes,no,no,male,18-29,,high school degree,south atlantic,6,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,1,1.0,1.0,0.0,0.0,high_consumption,fan,1
3292879538.0,no,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,yes,male,18-29,"$0 - $24,999",bachelor degree,west south central,0,0,,,,,,,,,,,,,,,,0,,,,1.0,no_movies_seen,unknown,1
3292765271.0,yes,no,1,1,1,0,0,0,1.0,2.0,3.0,4.0,5.0,6.0,somewhat favorably,somewhat favorably,somewhat favorably,somewhat favorably,somewhat favorably,unfamiliar (n/a),unfamiliar (n/a),unfamiliar (n/a),unfamiliar (n/a),unfamiliar (n/a),unfamiliar (n/a),unfamiliar (n/a),unfamiliar (n/a),unfamiliar (n/a),i don't understand this question,no,,no,male,18-29,"$0 - $24,999",high school degree,west north central,3,1,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,1.0,1,0.0,0.0,,0.0,medium_consumption,not_fan,1
3292763116.0,yes,yes,1,1,1,1,1,1,5.0,6.0,1.0,2.0,4.0,3.0,very favorably,very favorably,very favorably,very favorably,very favorably,somewhat favorably,very favorably,somewhat favorably,somewhat unfavorably,very favorably,very favorably,very favorably,very favorably,very favorably,i don't understand this question,no,,yes,male,18-29,"$100,000 - $149,999",some college or associate degree,west north central,6,1,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,-1.0,2.0,2.0,2.0,2.0,2.0,1.6428571428571428,1,1.0,0.0,,1.0,high_consumption,fan,1
3292731220.0,yes,yes,1,1,1,1,1,1,5.0,4.0,6.0,2.0,1.0,3.0,very favorably,somewhat favorably,somewhat favorably,somewhat unfavorably,very favorably,very unfavorably,somewhat favorably,neither favorably nor unfavorably (neutral),very favorably,somewhat favorably,somewhat favorably,very unfavorably,somewhat favorably,somewhat favorably,greedo,yes,no,no,male,18-29,"$100,000 - $149,999",some college or associate degree,west north central,6,1,2.0,1.0,1.0,-1.0,2.0,-2.0,1.0,0.0,2.0,1.0,1.0,-2.0,1.0,1.0,0.5714285714285714,1,1.0,1.0,0.0,0.0,high_consumption,fan,1
3292719380.0,yes,yes,1,1,1,1,1,1,1.0,4.0,3.0,6.0,5.0,2.0,very favorably,very favorably,very favorably,very favorably,very favorably,neither favorably nor unfavorably (neutral),very favorably,neither favorably nor unfavorably (neutral),somewhat favorably,somewhat favorably,somewhat favorably,somewhat favorably,neither favorably nor unfavorably (neutral),very favorably,han,yes,no,yes,male,18-29,"$25,000 - $49,999",bachelor degree,middle atlantic,6,1,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,1.2857142857142858,1,1.0,1.0,0.0,1.0,high_consumption,fan,1
3292684787.0,yes,yes,1,1,1,1,1,1,6.0,5.0,4.0,3.0,1.0,2.0,very favorably,very favorably,somewhat favorably,somewhat favorably,very favorably,very favorably,very favorably,very favorably,very favorably,somewhat favorably,very favorably,somewhat unfavorably,somewhat favorably,very favorably,han,yes,no,no,male,18-29,,high school degree,east north central,6,1,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,-1.0,1.0,2.0,1.5,1,1.0,1.0,0.0,0.0,high_consumption,fan,1
3292663732.0,yes,yes,1,1,1,1,1,1,4.0,5.0,6.0,3.0,2.0,1.0,very favorably,somewhat favorably,very favorably,neither favorably nor unfavorably (neutral),very favorably,very unfavorably,somewhat unfavorably,neither favorably nor unfavorably (neutral),somewhat favorably,somewhat favorably,somewhat favorably,very unfavorably,somewhat unfavorably,very favorably,han,no,,yes,male,18-29,,high school degree,south atlantic,6,1,2.0,1.0,2.0,0.0,2.0,-2.0,-1.0,0.0,1.0,1.0,1.0,-2.0,-1.0,2.0,0.42857142857142855,1,1.0,0.0,,1.0,high_consumption,fan,1
3292654043.0,yes,yes,1,1,1,1,1,1,5.0,4.0,6.0,2.0,1.0,3.0,very favorably,somewhat unfavorably,somewhat favorably,somewhat favorably,somewhat favorably,very favorably,very favorably,very favorably,very favorably,neither favorably nor unfavorably (neutral),somewhat favorably,very unfavorably,somewhat unfavorably,somewhat favorably,han,no,,no,male,18-29,"$0 - $24,999",some college or associate degree,south atlantic,6,1,2.0,-1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,1.0,-2.0,-1.0,1.0,0.7857142857142857,1,1.0,0.0,,0.0,high_consumption,fan,1
3292640424.0,yes,no,0,1,0,0,0,0,1.0,2.0,3.0,4.0,5.0,6.0,neither favorably nor unfavorably (neutral),very favorably,very favorably,very favorably,very favorably,somewhat unfavorably,very favorably,somewhat unfavorably,somewhat unfavorably,very favorably,very favorably,very favorably,somewhat unfavorably,very favorably,i don't understand this question,no,,no,male,18-29,"$25,000 - $49,999",some college or associate degree,pacific,1,1,0.0,2.0,2.0,2.0,2.0,-1.0,2.0,-1.0,-1.0,2.0,2.0,2.0,-1.0,2.0,1.0,1,0.0,0.0,,0.0,low_consumption,not_fan,1
