respondent_id,has_seen_any_star_wars_film,has_seen_any_star_wars_film_binary,is_star_wars_fan,is_star_wars_fan_binary,fan_segment,total_movies_seen,movie_consumption_segment,has_complete_movie_ranking,which_character_shot_first,is_familiar_with_expanded_universe,is_familiar_with_expanded_universe_binary,is_expanded_universe_fan,is_expanded_universe_fan_binary,is_star_trek_fan,is_star_trek_fan_binary,gender,age,household_income,education,location_census_region,has_demographic_info,average_character_opinion_score
3292879998.0,yes,1,yes,1.0,fan,6,high_consumption,1,i don't understand this question,yes,1.0,no,0.0,no,0.0,male,18-29,,high school degree,south atlantic,1,2.0
3292879538.0,no,0,,,unknown,0,no_movies_seen,0,,,,,,yes,1.0,male,18-29,"$0 - $24,999",bachelor degree,west south central,1,
3292765271.0,yes,1,no,0.0,not_fan,3,medium_consumption,1,i don't understand this question,no,0.0,,,no,0.0,male,18-29,"$0 - $24,999",high school degree,west north central,1,1.0
3292763116.0,yes,1,yes,1.0,fan,6,high_consumption,1,i don't understand this question,no,0.0,,,yes,1.0,male,18-29,"$100,000 - $149,999",some college or associate degree,west north central,1,1.6428571428571428
3292731220.0,yes,1,yes,1.0,fan,6,high_consumption,1,greedo,yes,1.0,no,0.0,no,0.0,male,18-29,"$100,000 - $149,999",some college or associate degree,west north central,1,0.5714285714285714
3292719380.0,yes,1,yes,1.0,fan,6,high_consumption,1,han,yes,1.0,no,0.0,yes,1.0,male,18-29,"$25,000 - $49,999",bachelor degree,middle atlantic,1,1.2857142857142858
3292684787.0,yes,1,yes,1.0,fan,6,high_consumption,1,han,yes,1.0,no,0.0,no,0.0,male,18-29,,high school degree,east north central,1,1.5
3292663732.0,yes,1,yes,1.0,fan,6,high_consumption,1,han,no,0.0,,,yes,1.0,male,18-29,,high school degree,south atlantic,1,0.42857142857142855
3292654043.0,yes,1,yes,1.0,fan,6,high_consumption,1,han,no,0.0,,,no,0.0,male,18-29,"$0 - $24,999",some college or associate degree,south atlantic,1,0.7857142857142857
3292640424.0,yes,1,no,0.0,not_fan,1,low_consumption,1,i don't understand this question,no,0.0,,,no,0.0,male,18-29,"$25,000 - $49,999",some college or associate degree,pacific,1,1.0
3292637870.0,yes,1,,,unknown,0,no_movies_seen,0,,,,,,,,,,,,,0,
3292635062.0,no,0,,,unknown,0,no_movies_seen,0,,,,,,,,,,,,,0,
3292609214.0,yes,1,no,0.0,not_fan,6,high_consumption,1,greedo,no,0.0,,,no,0.0,male,18-29,"$25,000 - $49,999",bachelor degree,south atlantic,1,1.3571428571428572
3292596911.0,yes,1,yes,1.0,fan,6,high_consumption,1,i don't understand this question,no,0.0,,,no,0.0,male,30-44,"$50,000 - $99,999",graduate degree,mountain,1,1.3636363636363635
3292587240.0,yes,1,yes,1.0,fan,6,high_consumption,1,han,no,0.0,,,no,0.0,male,18-29,,high school degree,east north central,1,0.7142857142857143
3292583038.0,yes,1,yes,1.0,fan,6,high_consumption,1,han,yes,1.0,yes,1.0,yes,1.0,male,18-29,"$0 - $24,999",some college or associate degree,west south central,1,0.5
3292580516.0,yes,1,yes,1.0,fan,1,low_consumption,1,han,yes,1.0,yes,1.0,no,0.0,male,18-29,"$50,000 - $99,999",bachelor degree,new england,1,-0.35714285714285715
3292572872.0,yes,1,yes,1.0,fan,4,medium_consumption,1,greedo,no,0.0,,,no,0.0,male,18-29,,some college or associate degree,middle atlantic,1,1.7142857142857142
3292565282.0,yes,1,yes,1.0,fan,6,high_consumption,1,han,no,0.0,,,no,0.0,male,18-29,,high school degree,south atlantic,1,1.4285714285714286
3292562297.0,yes,1,yes,1.0,fan,6,high_consumption,1,greedo,no,0.0,,,yes,1.0,male,18-29,"$50,000 - $99,999",some college or associate degree,west north central,1,1.0714285714285714
3292522349.0,yes,1,yes,1.0,fan,6,high_consumption,1,han,no,0.0,,,no,0.0,male,18-29,,some college or associate degree,pacific,1,0.9285714285714286
3292521066.0,yes,1,no,0.0,not_fan,5,high_consumption,1,i don't understand this question,no,0.0,,,no,0.0,male,18-29,,bachelor degree,pacific,1,0.0
3292511801.0,yes,1,yes,1.0,fan,6,high_consumption,1,greedo,yes,1.0,yes,1.0,yes,1.0,male,18-29,"$50,000 - $99,999",bachelor degree,south atlantic,1,0.7857142857142857
3292483200.0,yes,1,yes,1.0,fan,6,high_consumption,1,han,no,0.0,,,no,0.0,male,18-29,"$0 - $24,999",bachelor degree,pacific,1,0.9285714285714286
3292465491.0,yes,1,yes,1.0,fan,6,high_consumption,1,han,no,0.0,,,no,0.0,male,18-29,,,east north central,1,2.0
3292447974.0,no,0,,,unknown,0,no_movies_seen,0,,,,,,yes,1.0,male,18-29,"$0 - $24,999",high school degree,east south central,1,
3292420123.0,yes,1,yes,1.0,fan,6,high_consumption,1,greedo,yes,1.0,no,0.0,no,0.0,male,18-29,"$100,000 - $149,999",some college or associate degree,south atlantic,1,1.2142857142857142
3292384040.0,yes,1,yes,1.0,fan,6,high_consumption,1,greedo,no,0.0,,,no,0.0,male,18-29,,some college or associate degree,middle atlantic,1,1.0714285714285714
3292380493.0,yes,1,yes,1.0,fan,6,high_consumption,1,han,yes,1.0,no,0.0,no,0.0,male,18-29,,some college or associate degree,middle atlantic,1,-0.21428571428571427
