asset_key,asset_name,asset_type,source_dataset,film_count,known_numeric_fields,missing_fields,total_fields,data_completeness_pct,internal_presence_score
luke_skywalker,Luke Skywalker,character,characters,,5,0,14,100.0,5.0
leia_organa,Leia Organa,character,characters,,5,0,14,100.0,5.0
darth_vader,Darth Vader,character,characters,,5,1,14,92.86,5.0
yoda,Yoda,character,characters,,5,1,14,92.86,5.0
han_solo,Han Solo,character,characters,,5,0,14,100.0,5.0
chewbacca,Chewbacca,character,characters,,4,1,14,92.86,4.0
obi_wan_kenobi,Obi-Wan Kenobi,character,characters,,5,0,14,100.0,5.0
emperor_palpatine,Emperor Palpatine,character,characters,,5,1,14,92.86,5.0
anakin_skywalker,Anakin Skywalker,character,characters,,5,0,14,100.0,5.0
padme_amidala,Padme Amidala,character,characters,,5,0,14,100.0,5.0
qui_gon_jinn,Qui-Gon Jinn,character,characters,,5,0,14,100.0,5.0
mace_windu,Mace Windu,character,characters,,5,1,14,92.86,5.0
jar_jar_binks,Jar Jar Binks,character,characters,,4,2,14,85.71,4.0
count_dooku,Count Dooku,character,characters,,5,0,14,100.0,5.0
rey,Rey,character,characters,,4,1,14,92.86,4.0
finn,Finn,character,characters,,4,2,14,85.71,4.0
poe_dameron,Poe Dameron,character,characters,,4,1,14,92.86,4.0
kylo_ren,Kylo Ren,character,characters,,5,0,14,100.0,5.0
bb_8,BB-8,character,characters,,1,8,14,42.86,1.0
c_3po,C-3PO,character,characters,,3,5,14,64.29,3.0
r2_d2,R2-D2,character,characters,,3,5,14,64.29,3.0
lando_calrissian,Lando Calrissian,character,characters,,4,1,14,92.86,4.0
boba_fett,Boba Fett,character,characters,,4,1,14,92.86,4.0
jango_fett,Jango Fett,character,characters,,5,0,14,100.0,5.0
general_hux,General Hux,character,characters,,5,0,14,100.0,5.0
rose_tico,Rose Tico,character,characters,,4,1,14,92.86,4.0
supreme_leader_snoke,Supreme Leader Snoke,character,characters,,5,3,14,78.57,5.0
maz_kanata,Maz Kanata,character,characters,,4,3,14,78.57,4.0
aayla_secura,Aayla Secura,character,characters,,5,0,14,100.0,5.0
admiral_ackbar,Admiral Ackbar,character,characters,,5,1,14,92.86,5.0
admiral_piett,Admiral Piett,character,characters,,5,0,14,100.0,5.0
bail_organa,Bail Organa,character,characters,,5,0,14,100.0,5.0
barriss_offee,Barriss Offee,character,characters,,5,0,14,100.0,5.0
biggs_darklighter,Biggs Darklighter,character,characters,,5,0,14,100.0,5.0
bib_fortuna,Bib Fortuna,character,characters,,5,1,14,92.86,5.0
bossk,Bossk,character,characters,,4,2,14,85.71,4.0
captain_phasma,Captain Phasma,character,characters,,5,0,14,100.0,5.0
chirrut_imwe,Chirrut Îmwe,character,characters,,5,0,14,100.0,5.0
dengar,Dengar,character,characters,,4,1,14,92.86,4.0
greedo,Greedo,character,characters,,5,1,14,92.86,5.0
hera_syndulla,Hera Syndulla,character,characters,,4,1,14,92.86,4.0
jabba_the_hutt,Jabba the Hutt,character,characters,,5,1,14,92.86,5.0
kanan_jarrus,Kanan Jarrus,character,characters,,5,0,14,100.0,5.0
kit_fisto,Kit Fisto,character,characters,,5,1,14,92.86,5.0
lobot,Lobot,character,characters,,4,2,14,85.71,4.0
mon_mothma,Mon Mothma,character,characters,,4,1,14,92.86,4.0
nien_nunb,Nien Nunb,character,characters,,4,2,14,85.71,4.0
plo_koon,Plo Koon,character,characters,,5,1,14,92.86,5.0
saw_gerrera,Saw Gerrera,character,characters,,5,0,14,100.0,5.0
sebulba,Sebulba,character,characters,,4,2,14,85.71,4.0
shaak_ti,Shaak Ti,character,characters,,4,2,14,85.71,4.0
shmi_skywalker,Shmi Skywalker,character,characters,,5,0,14,100.0,5.0
wedge_antilles,Wedge Antilles,character,characters,,4,1,14,92.86,4.0
wicket_w_warrick,Wicket W. Warrick,character,characters,,4,1,14,92.86,4.0
zam_wesell,Zam Wesell,character,characters,,5,0,14,100.0,5.0
ahsoka_tano,Ahsoka Tano,character,characters,,4,2,14,85.71,4.0
