id,character_name,quote,source,character_key,source_film_key
1,Luke Skywalker,May the Force be with you.,A New Hope,luke_skywalker,a_new_hope
2,Darth Vader,I am your father.,The Empire Strikes Back,darth_vader,the_empire_strikes_back
3,Yoda,"Do or do not, there is no try.",The Empire Strikes Back,yoda,the_empire_strikes_back
4,Han Solo,I've got a bad feeling about this.,A New Hope,han_solo,a_new_hope
5,Admiral Ackbar,It's a trap!,Return of the Jedi,admiral_ackbar,return_of_the_jedi
6,Leia Organa,"Help me, Obi-Wan Kenobi. You're my only hope.",A New Hope,leia_organa,a_new_hope
7,Darth Vader,I find your lack of faith disturbing.,A New Hope,darth_vader,a_new_hope
8,Obi-Wan Kenobi,The Force will be with you. Always.,A New Hope,obi_wan_kenobi,a_new_hope
9,Obi-Wan Kenobi,You were the Chosen One!,Revenge of the Sith,obi_wan_kenobi,revenge_of_the_sith
10,Yoda,Fear is the path to the dark side.,The Phantom Menace,yoda,the_phantom_menace
11,Darth Vader,"Just for once, let me look on you with my own eyes.",Return of the Jedi,darth_vader,return_of_the_jedi
12,Obi-Wan Kenobi,"In my experience, there is no such thing as luck.",A New Hope,obi_wan_kenobi,a_new_hope
13,Han Solo,I’ve got a bad feeling about this.,The Empire Strikes Back,han_solo,the_empire_strikes_back
14,Luke Skywalker,"I am a Jedi, like my father before me.",Return of the Jedi,luke_skywalker,return_of_the_jedi
15,Qui-Gon Jinn,Your focus determines your reality.,The Phantom Menace,qui_gon_jinn,the_phantom_menace
16,Darth Vader,The Force is strong with this one.,A New Hope,darth_vader,a_new_hope
17,Padme Amidala,I will not let this Republic that has stood for a thousand years be split in two.,Attack of the Clones,padme_amidala,attack_of_the_clones
18,Qui-Gon Jinn,There’s always a bigger fish.,The Phantom Menace,qui_gon_jinn,the_phantom_menace
19,Padme Amidala,So this is how liberty dies. With thunderous applause.,Revenge of the Sith,padme_amidala,revenge_of_the_sith
20,Emperor Palpatine,Power! Unlimited power!,Revenge of the Sith,emperor_palpatine,revenge_of_the_sith
21,Emperor Palpatine,The dark side of the Force is a pathway to many abilities some consider to be unnatural.,Revenge of the Sith,emperor_palpatine,revenge_of_the_sith
22,Shmi Skywalker,"You can’t stop the change, any more than you can stop the suns from setting.",The Phantom Menace,shmi_skywalker,the_phantom_menace
23,Obi-Wan Kenobi,These aren’t the droids you’re looking for.,A New Hope,obi_wan_kenobi,a_new_hope
24,Count Dooku,"I sense great fear in you, Skywalker.",Attack of the Clones,count_dooku,attack_of_the_clones
25,Yoda,"There is no emotion, there is peace.",The Empire Strikes Back,yoda,the_empire_strikes_back
26,Yoda,"Once you start down the dark path, forever will it dominate your destiny.",The Empire Strikes Back,yoda,the_empire_strikes_back
27,Yoda,"A Jedi uses the Force for knowledge and defense, never for attack.",The Empire Strikes Back,yoda,the_empire_strikes_back
28,Obi-Wan Kenobi,You will find that many of the truths we cling to depend greatly on our own point of view.,Return of the Jedi,obi_wan_kenobi,return_of_the_jedi
29,Han Solo,Never tell me the odds!,The Empire Strikes Back,han_solo,the_empire_strikes_back
30,Obi-Wan Kenobi,"In my experience, there's no such thing as luck.",A New Hope,obi_wan_kenobi,a_new_hope
31,Obi-Wan Kenobi,I have a bad feeling about this.,The Phantom Menace,obi_wan_kenobi,the_phantom_menace
32,Han Solo,It’s not my fault.,The Empire Strikes Back,han_solo,the_empire_strikes_back
33,Luke Skywalker,Do you know what I’ve become?,The Empire Strikes Back,luke_skywalker,the_empire_strikes_back
34,Anakin Skywalker,I can’t watch anymore.,Return of the Jedi,anakin_skywalker,return_of_the_jedi
35,Luke Skywalker,I’ll never turn to the dark side.,Return of the Jedi,luke_skywalker,return_of_the_jedi
36,Obi-Wan Kenobi,"Remember, the Force will be with you, always.",A New Hope,obi_wan_kenobi,a_new_hope
37,Anakin Skywalker,This is where the fun begins.,Revenge of the Sith,anakin_skywalker,revenge_of_the_sith
38,Boba Fett,He’s no good to me dead.,The Empire Strikes Back,boba_fett,the_empire_strikes_back
39,Darth Vader,I am altering the deal. Pray I don’t alter it any further.,The Empire Strikes Back,darth_vader,the_empire_strikes_back
40,Opening Crawl,"A long time ago in a galaxy far, far away…",A New Hope,opening_crawl,a_new_hope
41,Obi-Wan Kenobi,Your eyes can deceive you; don’t trust them.,A New Hope,obi_wan_kenobi,a_new_hope
42,Gold Five,Stay on target.,A New Hope,gold_five,a_new_hope
43,Luke Skywalker,You serve your master well. And you will be rewarded.,Return of the Jedi,luke_skywalker,return_of_the_jedi
44,Han Solo,"Chewie, we’re home.",The Force Awakens,han_solo,the_force_awakens
45,Leia Organa,I love you.,The Empire Strikes Back,leia_organa,the_empire_strikes_back
46,Han Solo,I know.,The Empire Strikes Back,han_solo,the_empire_strikes_back
47,Han Solo,"You’re all clear, kid. Now let’s blow this thing and go home.",A New Hope,han_solo,a_new_hope
48,C-3PO,We’re doomed.,A New Hope,c_3po,a_new_hope
49,Darth Vader,"When I left you, I was but the learner. Now I am the master.",A New Hope,darth_vader,a_new_hope
