id,name,model,manufacturer,cost_in_credits,length,max_atmosphering_speed,crew,passengers,cargo_capacity,consumables,vehicle_class,pilots,films,pilot_count,film_count,vehicle_key,pilot_keys,film_keys
1,Snowspeeder,t-47 airspeeder,Incom corporation,0.0,4.5,650.0,2,0,10.0,,airspeeder,"Luke Skywalker, Wedge Antilles",The Empire Strikes Back,2,1,snowspeeder,"luke_skywalker, wedge_antilles",the_empire_strikes_back
2,TIE Fighter,Twin Ion Engine/Ln Starfighter,Sienar Fleet Systems,75000.0,6.3,1200.0,1,0,65.0,2 days,Starfighter,,"A New Hope, The Empire Strikes Back, Return of the Jedi",0,3,tie_fighter,,"a_new_hope, the_empire_strikes_back, return_of_the_jedi"
3,Sand Crawler,Digger Crawler,Corellia Mining Corporation,150000.0,36.8,30.0,46,30,50000.0,2 months,Wheeled,,A New Hope,0,1,sand_crawler,,a_new_hope
4,X-34 Landspeeder,X-34 Landspeeder,SoroSuub Corporation,10550.0,3.4,250.0,1,1,5.0,,Landspeeder,Luke Skywalker,A New Hope,1,1,x_34_landspeeder,luke_skywalker,a_new_hope
5,TIE Bomber,TIE/sa Bomber,Sienar Fleet Systems,86500.0,7.8,850.0,1,0,15.0,2 days,Bomber,,The Empire Strikes Back,0,1,tie_bomber,,the_empire_strikes_back
6,AT-AT,All Terrain Armored Transport,Kuat Drive Yards,226500.0,20.6,60.0,5,40,1000.0,,Walker,,"The Empire Strikes Back, Return of the Jedi",0,2,at_at,,"the_empire_strikes_back, return_of_the_jedi"
7,AT-ST,All Terrain Scout Transport,Kuat Drive Yards,89100.0,8.6,90.0,2,0,200.0,,Walker,,"The Empire Strikes Back, Return of the Jedi",0,2,at_st,,"the_empire_strikes_back, return_of_the_jedi"
8,Sith Speeder,FC-20 Speeder Bike,Razalon,4000.0,1.5,180.0,1,0,5.0,,Speeder,Darth Maul,The Phantom Menace,1,1,sith_speeder,darth_maul,the_phantom_menace
9,Speeder Bike,74-Z Speeder Bike,Aratech Repulsor Company,8000.0,3.0,360.0,1,1,4.0,2 days,Speeder,Scout Trooper,Return of the Jedi,1,1,speeder_bike,scout_trooper,return_of_the_jedi
10,Imperial Speeder Bike,74-Z Speeder Bike,Aratech Repulsor Company,8000.0,3.0,500.0,1,1,5.0,2 days,Speeder,Scout Trooper,Return of the Jedi,1,1,imperial_speeder_bike,scout_trooper,return_of_the_jedi
11,Cloud Car,Storm IV Twin-Pod,Bespin Motors,75000.0,7.0,1500.0,2,0,10.0,,Air speeder,,The Empire Strikes Back,0,1,cloud_car,,the_empire_strikes_back
12,Sith Infiltrator,Sith Infiltrator,Sienar Fleet Systems,0.0,26.5,1180.0,1,6,150000.0,1 month,Starfighter,Darth Maul,The Phantom Menace,1,1,sith_infiltrator,darth_maul,the_phantom_menace
13,B-Wing,B-Wing starfighter,Slayn & Korpil,220000.0,16.9,950.0,1,0,45.0,1 week,Starfighter,,Return of the Jedi,0,1,b_wing,,return_of_the_jedi
14,Slave 1,Firespray-31-class patrol and attack craft,Kuat Systems Engineering,150000.0,21.5,1000.0,1,6,80000.0,1 month,Patrol craft,Boba Fett,"The Empire Strikes Back, Attack of the Clones",1,2,slave_1,boba_fett,"the_empire_strikes_back, attack_of_the_clones"
15,Solar Sailer,Punworcca 116-class interstellar sloop,Huppla Pasa Tisc Shipwrights Collective,285000.0,15.2,1600.0,3,11,180000.0,1 month,Sloop,Count Dooku,Attack of the Clones,1,1,solar_sailer,count_dooku,attack_of_the_clones
16,Geonosian Starfighter,Nantex-class territorial defense starfighter,Huppla Pasa Tisc Shipwrights Collective,125000.0,9.8,1200.0,1,0,30.0,2 days,Starfighter,,Attack of the Clones,0,1,geonosian_starfighter,,attack_of_the_clones
17,Hound's Tooth,YT-2000 light freighter,Corellian Engineering Corporation,150000.0,20.0,850.0,6,10,500000.0,2 months,Light freighter,Bossk,The Clone Wars,1,1,hound_s_tooth,bossk,the_clone_wars
18,Scimitar,Sith Infiltrator,Republic Sienar Systems,200000.0,26.5,1180.0,1,6,150000.0,1 month,Starfighter,Darth Maul,The Phantom Menace,1,1,scimitar,darth_maul,the_phantom_menace
19,Tie Interceptor,TIE/in interceptor,Sienar Fleet Systems,75000.0,9.6,1250.0,1,0,75.0,2 days,Starfighter,,Return of the Jedi,0,1,tie_interceptor,,return_of_the_jedi
20,Naboo Royal Cruiser,J-type diplomatic barge,Theed Palace Space Vessel Engineering Corps,200000.0,115.0,920.0,8,50,500000.0,2 months,Yacht,Padme Amidala,Attack of the Clones,1,1,naboo_royal_cruiser,padme_amidala,attack_of_the_clones
21,X-34 Landspeeder,X-34,SoroSuub Corporation,10550.0,3.4,250.0,1,1,5.0,2 days,Landspeeder,Luke Skywalker,A New Hope,1,1,x_34_landspeeder,luke_skywalker,a_new_hope
