film_key,film_title,the_numbers_title,release_date,release_year,era,film_type,budget_usd,domestic_box_office_usd,worldwide_box_office_usd,profit_estimated_usd,roi,data_status,source_name,source_url
a_new_hope,A New Hope,Star Wars Ep. IV: A New Hope,1977-05-25,1977,original_trilogy,saga_episode,11000000,460998007,775398007,764398007,69.4907,final,The Numbers,https://www.the-numbers.com/movies/franchise/Star-Wars
the_empire_strikes_back,The Empire Strikes Back,Star Wars Ep. V: The Empire Strikes Back,1980-05-20,1980,original_trilogy,saga_episode,23000000,291738960,549001086,526001086,22.8696,final,The Numbers,https://www.the-numbers.com/movies/franchise/Star-Wars
return_of_the_jedi,Return of the Jedi,Star Wars Ep. VI: Return of the Jedi,1983-05-25,1983,original_trilogy,saga_episode,32500000,316465003,482365284,449865284,13.8420,final,The Numbers,https://www.the-numbers.com/movies/franchise/Star-Wars
the_phantom_menace,The Phantom Menace,Star Wars Ep. I: The Phantom Menace,1999-05-19,1999,prequel_trilogy,saga_episode,115000000,487574671,1046513456,931513456,8.1001,final,The Numbers,https://www.the-numbers.com/movies/franchise/Star-Wars
attack_of_the_clones,Attack of the Clones,Star Wars Ep. II: Attack of the Clones,2002-05-16,2002,prequel_trilogy,saga_episode,115000000,310676740,656695615,541695615,4.7104,final,The Numbers,https://www.the-numbers.com/movies/franchise/Star-Wars
revenge_of_the_sith,Revenge of the Sith,Star Wars Ep. III: Revenge of the Sith,2005-05-18,2005,prequel_trilogy,saga_episode,115000000,414378291,902891983,787891983,6.8512,final,The Numbers,https://www.the-numbers.com/movies/franchise/Star-Wars
the_force_awakens,The Force Awakens,Star Wars Ep. VII: The Force Awakens,2015-12-16,2015,sequel_trilogy,saga_episode,533200000,936662225,2056046835,1522846835,2.8561,final,The Numbers,https://www.the-numbers.com/movies/franchise/Star-Wars
rogue_one,Rogue One,Rogue One: A Star Wars Story,2016-12-14,2016,disney_anthology,spin_off,280200000,533539991,1055083596,774883596,2.7655,final,The Numbers,https://www.the-numbers.com/movies/franchise/Star-Wars
the_last_jedi,The Last Jedi,Star Wars Ep. VIII: The Last Jedi,2017-12-13,2017,sequel_trilogy,saga_episode,262000000,620181382,1322581071,1060581071,4.0480,final,The Numbers,https://www.the-numbers.com/movies/franchise/Star-Wars
solo,Solo,Solo: A Star Wars Story,2018-05-23,2018,disney_anthology,spin_off,330400000,213767512,393151347,62751347,0.1899,final,The Numbers,https://www.the-numbers.com/movies/franchise/Star-Wars
the_rise_of_skywalker,The Rise of Skywalker,Star Wars: The Rise of Skywalker,2019-12-18,2019,sequel_trilogy,saga_episode,275000000,515202542,1069951814,794951814,2.8907,final,The Numbers,https://www.the-numbers.com/movies/franchise/Star-Wars
the_mandalorian_and_grogu,The Mandalorian and Grogu,Star Wars: The Mandalorian and Grogu,2026-05-20,2026,new_theatrical_release,streaming_series_continuation,165000000,158382333,296046513,131046513,0.7942,partial_current_release,The Numbers,https://www.the-numbers.com/movies/franchise/Star-Wars
